variable,descripcion,media,n,faltantes,sesgo,curtosis
p1,Oportunidad,6.97,317,0,-1.1,0.73
p2,Oportunidad,6.8,315,0.6,-0.074,-0.22
p3,Oportunidad,6.6,316,0.3,-0.84,-0.41
p4,Confianza,7.51,314,0.9,-0.88,0.08
p5,Confianza,8.01,294,7.3,-1.45,2.22
p6,Confianza,8.08,303,4.4,-1.42,2.6
p7,Honestidad,7.69,302,4.7,-1.46,2.6
p9,Honestidad,6.67,243,23.3,-0.61,-0.86
p10,Amabilidad,7.46,302,4.7,-1,1.39
p11,Amabilidad,7.3,299,5.7,-0.96,0.68
p12,Amabilidad,7.65,288,9.1,-1.06,1.32
p13,Satisfaccion,7.35,312,1.6,-1.29,1.72
p14,Satisfaccion,7.15,315,0.6,-0.85,0.18
p15,Satisfaccion,7.03,303,4.4,-1.07,0.53
p16,Precio,6.58,309,2.5,-0.89,0.12
p17,Precio,6.81,285,10.1,-0.9,0.3
p18,Precio,6.99,307,3.2,-1.1,0.74
p19,Reputacion,7,314,0.9,-1.2,1.18
p20,Reputacion,6.64,265,16.4,-0.8,0.14
p21,Reputacion,7.06,305,3.8,-0.92,0.62
p22,Reputacion,6.86,304,4.1,-0.73,0.23
p28,Confianza,6.96,296,6.6,-1.2,0.98
p29,Confianza,7.56,309,2.5,-1.34,1.97
